ID Region Lon_degree Lon_minute Lon_second Lat_degree Lat_minute Lat_second Height
CT72 50-100km 1 51 0.3 48 28 36.5 232.9
CT74 50-100km 2 0 18.6 48 26 53.3 214.7
DHUI 50-100km 2 10 35.7 48 23 57.7 204.8
FORF 50-100km 2 50 52.4 49 3 28.3 139.0
GRIG 50-100km 2 52 54.0 48 42 13.4 164.2
LIZY 50-100km 3 1 53.7 49 1 23.2 106.2
MELN 50-100km 2 40 20.9 48 32 22.2 128.8

BAC1 100-150km 2 22 59.9 49 37 20.9 143.2
BEAV 100-150km 2 6 9.5 49 26 46.0 147.2
BOVE 100-150km 2 7 9.1 49 25 47.5 136.9
CHPH 100-150km 1 30 3.3 48 27 36.8 204.1
CT1A 100-150km 1 56 6.3 48 11 7.6 221.7
CT21 100-150km 1 35 55.0 49 22 57.0 215.7
CT22 100-150km 1 21 3.5 49 17 56.2 231.3
CT38 100-150km 1 13 20.9 49 4 16.5 204.3
CT41 100-150km 1 16 58.9 48 35 31.0 267.9
CT56 100-150km 3 14 18.0 48 51 4.4 252.6
CTZ1 100-150km 1 36 57.6 48 16 26.2 251.0
FEGA 100-150km 3 20 11.8 48 47 5.6 224.3
FENG 100-150km 2 47 40.3 48 5 24.8 158.4
FETA 100-150km 3 30 33.5 49 12 3.0 168.4
JANV 100-150km 1 52 58.0 48 12 0.9 195.9
OISO 100-150km 1 58 10.8 48 8 15.3 193.0
TRBL 100-150km 1 20 25.5 48 33 55.5 260.8
VACH 100-150km 1 8 45.6 49 7 17.5 179.8
VNTE 100-150km 2 46 47.6 49 26 0.7 137.4
VOUL 100-150km 3 19 58.0 48 37 0.8 220.1

AILT 150-200km 3 21 21.2 47 52 37.2 186.8
AMIY 150-200km 2 43 41.4 47 57 54.1 150.5
AMNS 150-200km 2 14 18.1 49 51 31.8 90.1
ARDN 150-200km 1 52 20.8 47 46 41.8 191.3
ARRO 150-200km 1 7 23.0 48 6 1.7 214.9
BOGU 150-200km 1 6 48.3 49 28 34.6 220.6
CH2T 150-200km 1 19 49.4 48 3 36.0 193.4
CHAI 150-200km 3 42 0.2 48 5 3.1 221.0
CHBL 150-200km 0 33 24.3 48 58 39.3 284.0
CHLN 150-200km 2 48 5.8 49 48 35.1 146.3
COAU 150-200km 3 31 4.0 49 38 37.1 127.5
CONN 150-200km 3 55 4.1 48 43 48.7 157.0
CT17 150-200km 1 9 26.9 48 12 1.8 257.4
CT19 150-200km 1 34 43.7 48 3 38.5 196.9
CT25 150-200km 0 53 44.5 49 3 2.5 216.3
CT30 150-200km 0 37 48.4 48 56 36.3 269.2
CT35 150-200km 0 52 57.4 49 14 9.7 232.5
CT39 150-200km 0 38 47.2 49 2 2.0 233.9
CT3D 150-200km 1 16 32.4 49 33 25.8 242.2
CT60 150-200km 1 14 50.1 48 18 19.3 242.5
CT80 150-200km 1 25 6.0 48 3 36.2 211.1
CT83 150-200km 1 23 24.7 48 11 32.8 218.1
FOU2 150-200km 1 34 50.7 49 50 31.2 238.1
JARG 150-200km 2 7 14.2 47 51 43.9 158.3
LENE 150-200km 0 54 25.3 49 8 57.4 188.7
MAGR 150-200km 3 19 20.8 48 11 12.8 144.4
MERY 150-200km 3 53 12.8 48 30 52.1 139.8
MGIS 150-200km 2 42 49.7 47 58 32.9 147.5
MOM3 150-200km 1 28 12.1 49 35 57.2 214.2
ROMY 150-200km 3 46 7.4 49 10 25.6 274.2
SERQ 150-200km 1 32 14.5 49 37 54.1 234.9
TOR4 150-200km 0 39 19.1 48 35 25.2 307.5
VERN 150-200km 3 40 22.4 49 5 55.3 132.2
VESO 150-200km 3 18 51.6 49 32 31.0 145.9
